,Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Cluster,PCA1,PCA2
0,Aceh,1993,1329536.0,323589.0,1627.0,82.0,26.06,Tinggi,-0.39916531756324364,-0.13091892946511954
1,Aceh,1994,1299699.0,329041.0,1521.0,82.12,26.92,Tinggi,-0.2272288079710877,0.3605775055534502
2,Aceh,1995,1382905.0,339253.0,1476.0,82.72,26.27,Tinggi,-0.28771727132161057,-0.07859276774767031
3,Aceh,1996,1419128.0,348223.0,1557.0,83.0,26.08,Tinggi,-0.2995938960340974,-0.25928027154002725
4,Aceh,1997,1368074.0,337561.0,1339.0,82.46,26.31,Tinggi,-0.26281141411987785,0.025642466510527092
5,Aceh,1998,1404580.0,365892.0,1465.0,82.6,26.84,Sedang,-0.0848364515613705,0.22187043077370977
6,Aceh,1999,1478712.0,359817.0,1778.0,82.79,26.14,Tinggi,-0.24669509801244835,-0.2990573740388959
7,Aceh,2000,1486909.0,336765.0,1974.7,90.6,27.1,Tinggi,-0.4522741545347704,-0.7703107382752631
8,Aceh,2001,1547499.0,295212.0,1688.7,69.48,28.9,Rendah,0.6361256984015797,2.889257779444856
9,Aceh,2002,1314165.0,315131.0,1296.8,68.75,29.2,Rendah,0.7047765934138666,3.3075051948380336
10,Aceh,2003,1246614.0,367636.0,1507.2,70.66,29.4,Rendah,0.7523458978461128,3.082865451459603
11,Aceh,2004,1350748.0,370966.0,1097.0,80.84,29.4,Rendah,0.5020508866568041,1.9612327300294266
12,Aceh,2005,1411650.0,337893.0,710.5,79.5,26.8,Sedang,0.06244385225208298,0.8530041170607995
13,Aceh,2006,1552078.0,320789.0,506.5,80.8,26.73,Sedang,0.062140781801062535,0.7098753350532935
14,Aceh,2007,1556858.0,360717.0,1414.0,81.5,26.38,Sedang,-0.05025299271552447,0.09244637022057335
15,Aceh,2008,1402287.0,329109.0,1270.4,78.5,27.0,Sedang,0.020804402312204852,0.9043866907752038
16,Aceh,2009,1533369.0,359375.0,1577.0,78.7,26.9,Sedang,0.11016097854366114,0.666561597376588
17,Aceh,2010,1788738.0,352281.0,1986.0,81.4,27.1,Sedang,0.1085501332747651,0.2599926215056328
18,Aceh,2011,1772962.0,380686.0,1268.0,79.4,27.1,Sedang,0.36726879424342423,0.7226765850316156
19,Aceh,2012,1582393.0,387803.0,1098.0,79.6,26.9,Sedang,0.2603487017664869,0.6828638170370599
20,Aceh,2013,2331046.0,419183.0,1623.6,80.7,27.0,Sedang,0.6751227019500273,0.23279429447165742
21,Aceh,2014,1820062.0,376137.0,2264.4,78.3,27.1,Sedang,0.2694130022909164,0.5139068582532084
22,Aceh,2015,1956940.0,461060.0,1575.0,80.0,27.1,Sedang,0.6360246068379306,0.4347798484101632
23,Aceh,2016,2180754.0,293067.0,1096.0,83.32,27.12,Sedang,0.22812812853901943,0.3029698423381054
24,Aceh,2017,2478922.0,294483.0,1905.9,85.57,26.51,Sedang,0.07908034371688366,-0.6423849594323655
25,Aceh,2018,1751996.94,329515.78,1427.8,83.98,26.48,Tinggi,-0.10612955138344451,-0.17417663800503513
26,Aceh,2019,1714437.6,310012.46,1931.4,83.9,26.65,Tinggi,-0.22652030372534232,-0.21594542830449287
27,Aceh,2020,1861567.1,317869.41,1619.2,80.82,25.41,Tinggi,-0.18896469271254998,-0.45270449748022673
28,Sumatera Utara,1993,2918152.0,754569.0,2549.4,83.8,26.45,Sedang,1.6225371757998692,-1.1806032905329937
29,Sumatera Utara,1994,3079960.0,792534.0,2166.5,83.79,26.4,Sedang,1.8747700703649377,-1.1471238604925955
30,Sumatera Utara,1995,3134533.0,795183.0,2917.1,81.68,26.58,Sedang,1.9114710842741565,-1.0606513316614559
31,Sumatera Utara,1996,3136760.0,790051.0,2326.5,81.31,26.33,Sedang,1.9553823664449248,-0.9490494176986093
32,Sumatera Utara,1997,3212208.0,797545.0,1865.0,81.81,26.4,Sedang,2.0852877394157225,-0.8394564567690188
33,Sumatera Utara,1998,3321049.0,823749.0,2496.9,83.53,27.16,Sedang,2.2045697465533096,-0.8940226874037759
34,Sumatera Utara,1999,3451430.0,838626.0,3087.3,84.56,26.45,Sedang,2.059687394869229,-1.646613521747347
35,Sumatera Utara,2000,3514253.0,847610.0,1289.5,82.94,27.7,Sedang,2.6926338223908406,-0.18567991838169873
36,Sumatera Utara,2001,3291515.0,801948.0,3595.3,72.78,28.03,Sedang,2.5228349381327875,0.5385263454715007
37,Sumatera Utara,2002,3153305.0,765161.0,1944.9,72.31,28.45,Sedang,2.6867112893868548,1.4433545875326208
